Level,Message,Timestamp
INFO,Finding Asset by id 1,2025-01-31 19:48:51
INFO,Finding Broker by id 1,2025-01-31 19:48:51
INFO,Finding Strategy by id 1,2025-01-31 19:48:51
INFO,Finding Asset by id 3,2025-01-31 19:48:51
INFO,Finding Broker by id 2,2025-01-31 19:48:51
INFO,Finding Strategy by id 1,2025-01-31 19:48:51
INFO,Finding Strategy by id 1,2025-01-31 19:48:51
INFO,Finding Asset by id 1,2025-01-31 19:48:51
INFO,Finding Asset by id 2,2025-01-31 19:48:51
INFO,Strategy FVG registered for relation BTCUSDTBYBITFVGSession,2025-01-31 19:48:51
INFO,Strategy FVG registered for relation EURUSDCAPITALCOMFVGSession,2025-01-31 19:48:51
INFO,Register Asset to Asset Manager:BTCUSDT,2025-01-31 19:48:51
INFO,Registered asset BTCUSDT,2025-01-31 19:48:51
INFO,Strategy FVG already registered,2025-01-31 19:48:51
INFO,Strategy FVG already registered,2025-01-31 19:48:51
INFO,Register Asset to Asset Manager:USDT.D,2025-01-31 19:48:51
INFO,Registered asset USDT.D,2025-01-31 19:48:51
INFO,Strategy FVG already registered,2025-01-31 19:48:51
INFO,Strategy FVG already registered,2025-01-31 19:48:51
INFO,Register Asset to Asset Manager:EURUSD,2025-01-31 19:48:51
INFO,Registered asset EURUSD,2025-01-31 19:48:51
INFO,"Register Trade,TradeId: dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 19:48:51
INFO,"Register Trade,TradeId: b949b33e-6e71-408c-a81d-7fba18b75547",2025-01-31 19:48:51
INFO,"Register Trade,TradeId: b2ff5556-bec2-4ccc-a6f9-07038b146071",2025-01-31 19:48:51
INFO,"Register Trade,TradeId: 3136d144-9b5e-4c40-9918-1c29fcf8731b",2025-01-31 19:48:51
INFO,Finished ConfigManager,2025-01-31 19:48:51
INFO,Time taken by run_starting_setup: 3.0162 seconds,2025-01-31 19:48:51
INFO,"b"" * Serving Flask app 'Server'\n""",2025-01-31 19:48:51
INFO,b' * Debug mode: off\n',2025-01-31 19:48:51
INFO,"[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://192.168.178.94:8080",2025-01-31 19:48:51
INFO,[33mPress CTRL+C to quit[0m,2025-01-31 19:48:51
INFO,"127.0.0.1 - - [31/Jan/2025 19:48:52] ""%s"" %s %s",2025-01-31 19:48:52
INFO,"Processing file TVC_DXY, 240.csv",2025-01-31 19:51:04
INFO,TradingService initialized,2025-01-31 20:07:09
INFO,Initializing ConfigManager,2025-01-31 20:07:09
INFO,"Mapping Trade,TradingId:dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 20:07:09
INFO,"Mapping Order,OrderLinkId:22e78fc3-9132-4098-8212-e970b757c8b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 20:07:09
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 20:07:09
